Número de Consulta,Tiempo de Respuesta (s),Uso de CPU (%),Uso de Memoria (%)
1,0.0,2.3,90.2
2,0.004033088684082031,2.3,90.2
3,0.004033088684082031,2.3,90.2
4,0.004033088684082031,2.3,90.2
5,0.014202356338500977,2.3,90.2
6,0.0005068778991699219,1.0,89.9
7,0.0,1.0,89.9
8,0.0,1.0,89.9
9,0.0,1.0,89.9
10,0.0,1.0,89.9
11,0.0,6.0,89.8
12,0.0,6.0,89.8
13,0.0,6.0,89.8
14,0.001562356948852539,6.1,89.8
15,0.0,6.0,89.8
16,0.0,9.1,90.4
17,0.0,9.2,90.4
18,0.0,9.1,90.4
19,0.0,9.1,90.4
20,0.0005075931549072266,9.1,90.4
21,0.0,4.1,90.1
22,0.0,4.1,90.1
23,0.0,4.1,90.1
24,0.0,4.3,90.1
25,0.0,4.3,90.1
26,0.0,2.5,90.3
27,0.0,2.5,90.3
28,0.0,2.5,90.3
29,0.0,2.6,90.3
30,0.0,2.5,90.3
31,0.0010423660278320312,7.8,91.6
32,0.0006244182586669922,7.9,91.6
33,0.0010743141174316406,7.9,91.6
34,0.0014870166778564453,7.9,91.6
35,0.0005576610565185547,7.8,91.6
36,0.0012412071228027344,4.3,91.6
37,0.00019025802612304688,4.3,91.6
38,0.0007393360137939453,4.3,91.6
39,0.0006551742553710938,4.3,91.6
40,0.0,4.3,91.6
41,0.0010082721710205078,12.3,91.3
42,0.0,12.1,91.3
43,0.0010685920715332031,12.3,91.3
44,0.0,12.3,91.3
45,0.0010018348693847656,12.3,91.3
46,0.0010085105895996094,18.5,91.3
47,0.0,18.5,91.3
48,0.0010120868682861328,18.5,91.3
49,0.0005059242248535156,18.7,91.3
50,0.0010144710540771484,18.8,91.3
51,0.0017054080963134766,16.8,91.3
52,0.0010287761688232422,16.8,91.3
53,0.0010325908660888672,17.0,91.2
54,0.001024007797241211,17.7,91.3
55,0.0010228157043457031,17.7,91.2
56,0.0010008811950683594,11.5,91.6
57,0.0010967254638671875,11.7,91.5
58,0.0005061626434326172,11.7,91.5
59,0.0015070438385009766,11.7,91.5
60,0.0010287761688232422,11.7,91.5
61,0.0005514621734619141,3.3,91.4
62,0.0007889270782470703,3.3,91.4
63,0.0010335445404052734,3.3,91.4
64,0.0021479129791259766,3.3,91.4
65,0.0013966560363769531,3.3,91.4
66,0.002607107162475586,1.2,91.2
67,0.0015981197357177734,1.4,91.2
68,0.0020923614501953125,1.4,91.2
69,0.0018537044525146484,1.4,91.2
70,0.00101470947265625,1.4,91.2
71,0.002076864242553711,4.5,91.2
72,0.0010292530059814453,4.7,91.2
73,0.001505136489868164,4.7,91.2
74,0.002004861831665039,4.9,91.2
75,0.0014984607696533203,4.9,91.2
76,0.0020160675048828125,3.1,91.0
77,0.0020122528076171875,3.1,91.0
78,0.0010101795196533203,3.3,91.0
79,0.0011250972747802734,3.3,91.0
80,0.0013785362243652344,3.3,91.0
81,0.0017714500427246094,2.7,91.0
82,0.0020706653594970703,2.7,91.0
83,0.0020143985748291016,2.7,91.0
84,0.0015900135040283203,2.7,91.0
85,0.0005869865417480469,2.7,91.0
86,0.002021312713623047,2.9,90.9
87,0.0016126632690429688,2.9,90.9
88,0.001012563705444336,2.9,90.9
89,0.0016148090362548828,2.9,90.9
90,0.0019562244415283203,2.9,90.9
91,0.0010104179382324219,3.9,90.9
92,0.0,3.5,90.9
93,0.0,3.5,90.9
94,0.0010039806365966797,3.5,90.9
95,0.0,3.3,90.9
96,0.0019989013671875,8.9,91.5
97,0.001222372055053711,8.8,91.5
98,0.0016415119171142578,8.4,91.5
99,0.0,8.4,91.5
100,0.0,8.4,91.5
101,0.0025844573974609375,10.9,91.5
102,0.002016305923461914,11.3,91.6
103,0.00024247169494628906,11.3,91.6
104,0.0006890296936035156,11.2,91.6
105,0.0010137557983398438,11.3,91.6
106,0.0014681816101074219,3.3,87.1
107,0.00145721435546875,3.3,87.1
108,0.0007739067077636719,3.3,87.1
109,0.0005159378051757812,3.3,87.1
110,0.0010097026824951172,3.3,87.1
111,0.0010039806365966797,0.8,86.8
112,0.0008034706115722656,1.0,86.8
113,0.0012402534484863281,1.0,86.8
114,0.0020215511322021484,1.0,86.8
115,0.0010542869567871094,1.0,86.8
116,0.0010998249053955078,6.4,87.0
117,0.0,6.4,87.0
118,0.0010640621185302734,6.2,87.0
119,0.0011229515075683594,6.2,87.0
120,0.0010867118835449219,6.2,87.0
121,0.0010094642639160156,3.3,87.0
122,0.0010182857513427734,3.9,87.0
123,0.0,3.9,87.0
124,0.0,3.9,87.0
125,0.0010106563568115234,4.3,87.0
126,0.0,7.2,87.5
127,0.0010066032409667969,7.2,87.5
128,0.0010039806365966797,7.2,87.5
129,0.0,7.4,87.5
130,0.0015120506286621094,7.2,87.5
131,0.001161336898803711,3.5,87.6
132,0.0010020732879638672,3.5,87.6
133,0.0010409355163574219,3.5,87.6
134,0.0010077953338623047,3.5,87.6
135,0.0012192726135253906,3.5,87.6
136,0.002461671829223633,2.7,87.6
137,0.002101898193359375,2.7,87.6
138,0.0012607574462890625,2.7,87.6
139,0.0020875930786132812,2.5,87.6
140,0.000698089599609375,2.5,87.6
141,0.0,5.3,87.3
142,0.0,5.7,87.3
143,0.0021212100982666016,5.7,87.3
144,0.0,5.7,87.3
145,0.0,5.7,87.3
146,0.0,2.3,87.1
147,0.0,2.3,87.1
148,0.0,2.3,87.1
149,0.0010213851928710938,2.3,87.1
150,0.0,2.2,87.1
