Número de Consulta,Tiempo de Respuesta (s),Uso de CPU (%),Uso de Memoria (%)
1,0.0,7.9,89.1
2,0.0,7.8,89.1
3,0.009879350662231445,7.9,89.1
4,0.005503654479980469,7.9,89.1
5,0.005503654479980469,7.9,89.1
6,0.005503654479980469,7.9,89.1
7,0.0025129318237304688,7.8,89.1
8,0.0025129318237304688,7.8,89.2
9,0.0025129318237304688,7.8,89.2
10,0.0,7.8,89.2
11,0.002540111541748047,3.7,89.1
12,0.0015130043029785156,3.7,89.1
13,0.0,3.9,89.1
14,0.0,3.9,89.1
15,0.0,3.9,89.1
16,0.0,3.9,89.1
17,0.00115203857421875,3.9,89.1
18,0.0,3.9,89.1
19,0.0,4.1,89.1
20,0.0020341873168945312,4.1,89.1
21,0.0,6.4,89.1
22,0.0,6.4,89.1
23,0.0,6.4,89.1
24,0.0020308494567871094,6.4,89.1
25,0.0,6.4,89.1
26,0.0,6.3,89.1
27,0.0,6.2,89.1
28,0.0,6.2,89.1
29,0.0,6.2,89.1
30,0.0,6.3,89.1
31,0.0,9.8,89.1
32,0.0,9.8,89.1
33,0.0010232925415039062,9.7,89.1
34,0.0,9.8,89.1
35,0.0,9.9,89.1
36,0.0,9.8,89.1
37,0.0,9.0,89.1
38,0.0,9.9,89.1
39,0.0005049705505371094,9.0,89.1
40,0.0011208057403564453,9.0,89.1
41,0.0,6.0,89.2
42,0.003109455108642578,5.9,89.2
43,0.003602743148803711,5.9,89.2
44,0.0,6.1,89.2
45,0.0,6.1,89.2
46,0.003530263900756836,6.1,89.2
47,0.0,6.1,89.2
48,0.0,6.1,89.2
49,0.0,6.1,89.2
50,0.0010478496551513672,6.1,89.2
51,0.0,11.1,89.2
52,0.0004496574401855469,10.4,89.2
53,0.003526926040649414,10.4,89.2
54,0.0,10.4,89.2
55,0.0015058517456054688,10.2,89.2
56,0.0,10.2,89.2
57,0.0,10.1,89.2
58,0.0069446563720703125,9.9,89.2
59,0.0,9.9,89.2
60,0.003025531768798828,9.6,89.2
61,0.0,7.9,89.1
62,0.0,7.9,89.1
63,0.0,7.9,89.1
64,0.002516508102416992,7.9,89.1
65,0.0021588802337646484,8.0,89.1
66,0.0,8.0,89.1
67,0.0,8.0,89.1
68,0.0,8.2,89.1
69,0.00021409988403320312,8.2,89.1
70,0.0,8.1,89.1
71,0.004075765609741211,7.6,89.1
72,0.0,7.6,89.1
73,0.0,7.7,89.1
74,0.0,7.6,89.1
75,0.0025131702423095703,7.6,89.1
76,0.0,7.6,89.1
77,0.0017523765563964844,7.5,89.1
78,0.0,6.8,89.1
79,0.0015249252319335938,6.8,89.1
80,0.0,6.8,89.1
81,0.0045201778411865234,6.8,89.1
82,0.0,6.6,89.1
83,0.0,6.6,89.1
84,0.0,6.5,89.1
85,0.0,6.5,89.1
86,0.002535104751586914,6.5,89.1
87,0.0,6.7,89.1
88,0.0014328956604003906,6.7,89.1
89,0.0,6.9,89.1
90,0.0,6.7,89.1
91,0.0,5.3,89.0
92,0.006045341491699219,5.0,89.0
93,0.004526615142822266,5.0,89.0
94,0.003066539764404297,5.0,89.0
95,0.0,5.2,89.0
96,0.0,5.2,89.0
97,0.0,5.2,89.0
98,0.0015745162963867188,5.2,89.0
99,0.0015597343444824219,5.4,89.0
100,0.0,5.2,89.0
101,0.0,5.8,89.1
102,0.004077911376953125,5.8,89.1
103,0.0,5.8,89.1
104,0.0,5.6,89.1
105,0.0020194053649902344,5.6,89.1
106,0.0,5.6,89.1
107,0.0025260448455810547,5.8,89.1
108,0.0,5.8,89.1
109,0.0,5.8,89.1
110,0.0,5.8,89.1
111,0.0,4.7,88.9
112,0.0,4.8,88.9
113,0.0,4.9,88.9
114,0.0,4.9,88.9
115,0.0025243759155273438,4.8,88.9
116,0.0015137195587158203,4.8,88.9
117,0.0,4.9,88.9
118,0.008568525314331055,4.8,88.9
119,0.002003192901611328,4.6,88.9
120,0.0,4.6,88.9
121,0.001359701156616211,5.7,89.0
122,0.0020198822021484375,5.4,89.0
123,0.0037789344787597656,5.4,89.0
124,0.0010058879852294922,5.4,89.0
125,0.002518177032470703,5.4,89.0
126,0.0,5.5,89.0
127,0.0,5.5,89.0
128,0.0010020732879638672,5.6,89.0
129,0.0,5.6,89.0
130,0.0,5.6,89.0
131,0.003007173538208008,7.8,88.9
132,0.0,7.8,88.9
133,0.003027200698852539,8.0,88.9
134,0.002025127410888672,8.0,88.9
135,0.0010039806365966797,8.0,88.9
136,0.0,8.0,88.9
137,0.003024578094482422,8.3,88.9
138,0.0,8.2,88.9
139,0.0,8.2,88.9
140,0.0,8.3,88.9
141,0.0025272369384765625,9.1,89.1
142,0.0020220279693603516,9.2,89.1
143,0.0,9.2,89.1
144,0.002504587173461914,9.0,89.1
145,0.0,9.0,89.1
146,0.0017764568328857422,9.1,89.1
147,0.0,9.2,89.1
148,0.0,9.2,89.1
149,0.0,9.2,89.1
150,0.0,9.3,89.1
151,0.0010139942169189453,10.7,90.1
152,0.002040863037109375,10.7,90.1
153,0.0,10.9,90.1
154,0.000225067138671875,10.9,90.1
155,0.0,10.7,90.1
156,0.0,10.7,90.1
157,0.005028247833251953,10.4,90.1
158,0.003023386001586914,10.7,90.1
159,0.0,10.8,90.1
160,0.0,10.7,90.1
161,0.0026128292083740234,23.3,90.2
162,0.0,23.3,90.2
163,0.0,23.4,90.2
164,0.001016855239868164,23.5,90.2
165,0.003518819808959961,23.5,90.2
166,0.0,23.3,90.2
167,0.0,23.4,90.2
168,0.0007414817810058594,23.5,90.2
169,0.004025459289550781,23.5,90.2
170,0.0,23.3,90.2
171,0.0,8.8,90.1
172,0.003511667251586914,8.3,90.1
173,0.0,7.8,90.1
174,0.0,7.9,90.1
175,0.0,8.0,90.1
176,0.003015756607055664,7.8,90.1
177,0.003523588180541992,7.6,90.1
178,0.0,7.7,90.1
179,0.004842519760131836,7.8,90.1
180,0.0030286312103271484,7.8,90.1
181,0.0009162425994873047,7.9,90.1
182,0.0,8.0,90.1
183,0.0,8.1,90.1
184,0.0,8.0,90.1
185,0.0,8.1,90.1
186,0.0,8.1,90.1
187,0.0,8.1,90.1
188,0.00261688232421875,7.7,90.1
189,0.0,7.7,90.1
190,0.0,7.7,90.1
191,0.0010266304016113281,4.5,90.0
192,0.0,4.5,90.0
193,0.0,4.3,90.0
194,0.0,4.3,90.0
195,0.0035216808319091797,4.5,90.0
196,0.0,4.5,90.0
197,0.0,4.3,90.0
198,0.0,4.3,90.0
199,0.002009868621826172,4.3,90.0
200,0.0043468475341796875,4.3,90.0
201,0.0035483837127685547,3.9,90.0
202,0.003056764602661133,3.9,90.0
203,0.003053903579711914,3.9,90.0
204,0.0,3.9,90.0
205,0.0,4.1,90.0
206,0.0,3.9,90.0
207,0.0,3.9,90.0
208,0.0,3.9,90.0
209,0.003033876419067383,3.9,90.0
210,0.004026651382446289,3.9,90.0
211,0.0,5.6,89.8
212,0.0,5.6,89.8
213,0.0,5.6,89.8
214,0.0,5.8,89.9
215,0.0015299320220947266,5.8,89.9
216,0.0,6.0,89.9
217,0.0,6.2,89.9
218,0.0,6.0,89.9
219,0.0,6.0,89.9
220,0.0010600090026855469,6.0,89.9
221,0.0,5.9,89.7
222,0.0,6.1,89.7
223,0.001003265380859375,6.0,89.6
224,0.0,6.2,89.6
225,0.0022928714752197266,6.2,89.6
226,0.0,6.1,89.6
227,0.0,6.0,89.6
228,0.0,5.8,89.6
229,0.0,5.6,89.6
230,0.0,5.6,89.6
231,0.0,4.5,89.8
232,0.0040378570556640625,4.6,89.8
233,0.0,4.7,89.8
234,0.00304412841796875,4.7,89.8
235,0.0,4.5,89.8
236,0.0,4.5,89.8
237,0.0,4.4,89.8
238,0.0,4.5,89.8
239,0.0,4.6,89.8
240,0.0,4.7,89.8
241,0.0,4.3,89.6
242,0.0,4.3,89.6
243,0.0,4.1,89.6
244,0.0,4.1,89.6
245,0.0,4.2,89.6
246,0.0,4.3,89.6
247,0.0,4.2,89.6
248,0.0,4.3,89.6
249,0.0,4.2,89.6
250,0.0,4.3,89.6
251,0.004537105560302734,9.1,89.6
252,0.004517793655395508,9.1,89.6
253,0.0,9.4,89.6
254,0.0,9.5,89.6
255,0.0020055770874023438,9.5,89.6
256,0.0030934810638427734,9.5,89.6
257,0.0,9.5,89.6
258,0.0,9.6,89.6
259,0.0040035247802734375,10.0,89.6
260,0.0,10.0,89.6
261,0.0,6.6,89.6
262,0.0,6.4,89.6
263,0.0035958290100097656,6.4,89.6
264,0.0,6.4,89.6
265,0.004017353057861328,6.2,89.6
266,0.0,6.1,89.6
267,0.0015370845794677734,6.1,89.6
268,0.0,6.1,89.6
269,0.0,6.0,89.6
270,0.004012107849121094,5.7,89.6
271,0.004537105560302734,4.9,89.6
272,0.004022836685180664,4.7,89.6
273,0.002012968063354492,4.7,89.6
274,0.0,4.6,89.6
275,0.0,4.5,89.6
276,0.0,4.4,89.6
277,0.0,4.5,89.6
278,0.0,4.4,89.6
279,0.0,4.5,89.6
280,0.0,4.4,89.6
281,0.0010149478912353516,4.9,89.5
282,0.0,4.8,89.5
283,0.0,4.9,89.5
284,0.002030611038208008,4.9,89.5
285,0.0,4.5,89.5
286,0.0025365352630615234,4.5,89.5
287,0.0,4.5,89.5
288,0.004618644714355469,4.5,89.5
289,0.00452423095703125,4.3,89.5
290,0.0020198822021484375,4.3,89.5
291,0.0,2.7,89.4
292,0.0030477046966552734,2.7,89.4
293,0.0,2.7,89.4
294,0.0,2.7,89.4
295,0.0,2.7,89.4
296,0.0,2.5,89.4
297,0.0,2.7,89.4
298,0.0,2.7,89.4
299,0.0,2.7,89.4
300,0.0015795230865478516,2.7,89.4
301,0.0,2.9,89.4
302,0.0,2.9,89.4
303,0.0,2.9,89.4
304,0.0,2.9,89.4
305,0.0,2.9,89.4
306,0.003606081008911133,2.9,89.4
307,0.0,2.9,89.4
308,0.0035393238067626953,2.9,89.4
309,0.0025665760040283203,2.9,89.4
310,0.0015404224395751953,2.9,89.4
311,0.0,4.1,89.4
312,0.0,4.1,89.4
313,0.0,4.1,89.4
314,0.0,4.1,89.4
315,0.0032351016998291016,4.1,89.4
316,0.0040493011474609375,3.9,89.4
317,0.0,3.9,89.4
318,0.0,3.7,89.4
319,0.0,3.7,89.4
320,0.0,3.2,89.4
321,0.0,3.3,89.1
322,0.006051540374755859,3.5,89.1
323,0.0,3.5,89.1
324,0.0025107860565185547,3.3,89.1
325,0.0,3.3,89.1
326,0.003518819808959961,3.3,89.1
327,0.0,3.4,89.1
328,0.003022432327270508,3.5,89.1
329,0.0,3.5,89.1
330,0.0,3.5,89.1
331,0.0045278072357177734,6.1,89.2
332,0.0035305023193359375,6.0,89.2
333,0.0,5.8,89.2
334,0.002526521682739258,5.8,89.2
335,0.0,6.0,89.2
336,0.0,6.0,89.2
337,0.0046710968017578125,6.1,89.2
338,0.0,6.0,89.2
339,0.0,6.0,89.2
340,0.0,6.0,89.2
341,0.0030612945556640625,18.8,86.4
342,0.002017974853515625,18.6,86.4
343,0.0,18.6,86.4
344,0.001886129379272461,18.6,86.4
345,0.0,18.6,86.4
346,0.0005471706390380859,18.1,86.4
347,0.0015037059783935547,18.1,86.4
348,0.0,18.0,86.4
349,0.0,17.8,86.4
350,0.0,17.9,86.4
351,0.0,5.5,86.4
352,0.003035306930541992,5.5,86.4
353,0.0,5.5,86.4
354,0.003545522689819336,5.4,86.4
355,0.003003358840942383,5.4,86.4
356,0.0,5.6,86.4
357,0.0,5.6,86.4
358,0.0,5.6,86.4
359,0.0,5.4,86.4
360,0.0,5.5,86.4
361,0.003003358840942383,6.8,86.5
362,0.0,6.9,86.5
363,0.0,6.8,86.5
364,0.003016948699951172,7.1,86.5
365,0.0,7.0,86.5
366,0.0,7.0,86.5
367,0.0030493736267089844,7.0,86.5
368,0.0,7.0,86.5
369,0.003002643585205078,6.8,86.5
370,0.0,6.8,86.5
371,0.0035517215728759766,3.3,86.7
372,0.0,3.5,86.7
373,0.0,3.3,86.7
374,0.0015056133270263672,3.3,86.7
375,0.0,3.3,86.7
376,0.0,3.3,86.7
377,0.0,3.3,86.7
378,0.0,3.1,86.7
379,0.0,3.1,86.7
380,0.0,3.1,86.7
381,0.0,2.5,86.8
382,0.0,2.3,86.8
383,0.0,2.3,86.8
384,0.003155946731567383,2.3,86.8
385,0.0,2.5,86.8
386,0.0,2.3,86.8
387,0.0,2.3,86.8
388,0.0,2.3,86.8
389,0.003010272979736328,2.3,86.8
390,0.0,2.5,86.8
391,0.0,4.1,86.8
392,0.0,4.3,86.8
393,0.0,4.3,86.8
394,0.0,4.1,86.8
395,0.0,3.9,86.8
396,0.0,3.9,86.8
397,0.0,3.9,86.8
398,0.0,3.9,86.8
399,0.0,4.1,86.8
400,0.0016741752624511719,4.1,86.8
401,0.0,6.4,86.7
402,0.0050199031829833984,6.0,86.7
403,0.0,6.0,86.7
404,0.0009257793426513672,6.1,86.7
405,0.0005211830139160156,6.2,86.7
406,0.0,6.4,86.7
407,0.0,6.4,86.7
408,0.004021167755126953,6.4,86.7
409,0.0,6.3,86.7
410,0.00257110595703125,6.4,86.7
411,0.0,2.1,86.7
412,0.0,2.1,86.7
413,0.003106832504272461,2.1,86.7
414,0.0,2.1,86.7
415,0.0,2.1,86.7
416,0.0,2.1,86.7
417,0.0,2.1,86.7
418,0.0,2.1,86.7
419,0.0,2.1,86.7
420,0.0,2.1,86.7
421,0.003710508346557617,5.2,86.8
422,0.0030236244201660156,5.4,86.8
423,0.004048347473144531,5.2,86.8
424,0.003545999526977539,5.3,86.8
425,0.0,5.2,86.8
426,0.0,5.3,86.8
